"Theta [deg]","dB(AxialRatioValue) [] - Freq='28GHz' Phi='0deg'","dB(AxialRatioValue) [] - Freq='28GHz' Phi='90deg'"
7,0.0638737755367833,0.15122055410445
8,0.074363143441472,0.173693264170998
9,0.0951363138379066,0.200577391734054
10,0.125088540326161,0.232362003999113
11,0.163266175975704,0.269631866017762
12,0.209448788856972,0.313100588198214
13,0.264020533830925,0.363650377935927
14,0.327833296988458,0.422382343857097
15,0.40216747734112,0.490683076320772
16,0.488771984933375,0.570315782818454
17,0.589971541090047,0.663548433897743
18,0.70884882418766,0.773338466055652
19,0.849529408535643,0.903605930778498
20,1.01762519756083,1.05964915123672
21,1.22093947685711,1.24879841173546
22,1.47062802842446,1.48148464438975
23,1.78320125993106,1.77306978625028
24,2.18418248177421,2.14716554479828
25,2.71530428366872,2.64209825721263
26,3.45010756500301,3.32473613150195
27,4.53261867390865,4.3241074235299
28,6.29476858733792,5.93024995329901
29,9.76593392852766,8.99658529435017
30,22.986968434822,18.6878958144368
31,8.27632947762264,10.1809948453904
32,4.36071075484986,3.99930007489567
33,18.5940801577248,17.9665373622982
34,17.9737116272459,17.7267986207404
35,11.4248619141942,11.151499922006
36,8.86028789159331,8.60627209072447
37,7.4399011574544,7.20546504418285
38,6.53472200161898,6.31695045049681
39,5.9110462711157,5.70718706608634
40,5.45977129055883,5.26759800886721
41,5.12255914093284,4.94031726688827
42,4.86521997927782,4.69152513004884
43,4.66633417867832,4.50008517123
44,4.51178187434997,4.35209513682079
45,4.39187385156264,4.23803537119802
46,4.29974192293903,4.15117208398411
47,4.23038585417242,4.08661346127973
48,4.18008347968098,4.04072629119476
49,4.14601180610439,4.0107617008356
50,4.12599582869007,3.99460729833579
51,4.11833741172619,3.99061846462486
52,4.12169590411066,3.99750073697902
53,4.13500307886268,4.01422606042325
54,4.1574013796509,4.03997202046338
55,4.18819832177268,4.07407699619051
56,4.22683229621417,4.11600654729154
57,4.27284655488137,4.16532785937825
58,4.32586915121125,4.22169005508824
59,4.3855972723037,4.28480883102975
60,4.45178484667554,4.35445432189493
61,4.5242326199833,4.43044139642962
62,4.60278010642546,4.51262180172142
63,4.68729897612797,4.60087772219716
64,4.77768754833794,4.69511642724702
65,4.8738661397975,4.79526575943567
66,4.97577307608029,4.90127027252725
67,5.08336121699274,5.01308787099669
68,5.19659487955774,5.13068683444185
69,5.31544706654119,5.25404313423624
70,5.4398969270288,5.38313796790696
71,5.56992738969157,5.51795545054623
72,5.70552292016046,5.65848041311273
73,5.84666736213751,5.80469626551299
74,5.99334182806483,5.95658288842795
75,6.14552260976975,6.11411452237438
76,6.30317908280987,6.27725762577138
77,6.46627158048688,6.44596867604814
78,6.63474921485732,6.62019188926202
79,6.80854762268343,6.79985683444214
80,6.98758661425317,6.98487591906096
81,7.17176770246236,7.17514172178631
82,7.36097148859678,7.37052414810363
83,7.55505487999106,7.57086738366302
84,7.75384811330313,7.77598661946048
85,7.95715155568214,7.98566452240856
86,8.16473225481707,8.19964742473157
87,8.37632020796981,8.41764120623938
88,8.59160431991848,8.63930684526605
89,8.81022802063613,8.86425561736068
90,9.03178451596133,9.09204392624397
91,9.25581164904274,9.32216775974995
92,9.48178635763122,9.55405677522833
93,9.70911872314921,9.78706803506124
94,9.93714562281436,10.0204794345112
95,10.1651240169758,10.2534828920781
96,10.3922239313714,10.485177407892
97,10.6175212293957,10.7145621392799
98,10.8399903137869,10.9405296950875
99,11.0584969512706,11.1618599116992
100,11.2717914781078,11.3772144432604
101,11.478502718899,11.5851325745135
102,11.6771330340633,11.7840287435652
103,11.8660550002818,11.9721923385818
104,12.0435103181036,12.147790399512
105,12.2076116248185,12.3088739040287
106,12.3563479591828,12.4533883347938
107,12.4875946661192,12.579189201122
108,12.599128531445,12.6840631116336
109,12.6886488871228,12.7657548591984
110,12.7538053183456,12.8220007870018
111,12.7922324348641,12.8505684690337
112,12.8015919534942,12.8493024909522
113,12.7796221089079,12.8161759104278
114,12.7241942222646,12.7493468854932
115,12.6333761971157,12.6472200845428
116,12.5055028947964,12.5085129537155
117,12.3392539123683,12.3323278568946
118,12.1337404176781,12.1182326784975
119,11.8886045856528,11.866354866602
120,11.604138046989,11.5774972920155
121,11.2814298371603,11.2532889180097
122,10.9225598247116,10.8963892788929
123,10.5308605390076,10.5107730633514
124,10.1112781654708,10.1021287722571
125,9.67087005258427,9.67841031817491
126,9.21947512940631,9.25057411062953
127,8.77056991254357,8.83349723997654
128,8.3422442405489,8.44696727298413
129,7.95804386399563,8.11640698394359
130,7.64708187943113,7.87262484624875
131,7.44239248063387,7.74952305724836
132,7.37642653276721,7.778887261968
133,7.47366976964953,7.98278836112749
134,7.74269524381486,8.36627530737703
135,8.17145661709829,8.91362569910625
136,8.72783395614114,9.58908544362846
137,9.36390046155766,10.3402409086327
138,10.0211015936213,11.1019996138921
139,10.6351326397003,11.8010850240298
140,11.1411493021841,12.3624672746545
141,11.4802351798031,12.7187246366868
142,11.6068270072453,12.8209866817123
143,11.4951481723581,12.6474793154944
144,11.142132212137,12.2055014411056
145,10.5657469786472,11.5260434239367
146,9.80028981261239,10.654641752632
147,8.89234863239935,9.64394086981762
148,7.90211603316395,8.55265999626147
149,6.91600166076449,7.45525385871094
150,6.07842227493972,6.46884708557612
151,5.63815610385662,5.80178029171872
152,5.92973053030756,5.77817669644537
153,7.19923578179271,6.70664442526527
154,9.568894760222,8.73694509606045
155,13.4160090568834,12.1248918933867
156,20.6156544672024,18.113341771872
157,33.213852755222,47.3652869935976
158,17.8004267352974,19.2871669868111
159,12.8843702728509,13.4378917911975
160,10.0061756006036,10.2175100733943
161,8.0325031558536,8.05819322835181
162,6.57095226845196,6.47561820297919
163,5.43821263762251,5.25506863002943
164,4.53375446453755,4.28241835107498
165,3.796575304544,3.48989388420433
166,3.18698804368797,2.83414636575904
167,2.67783372916024,2.28598603187026
168,2.24980762672318,1.82508046025633
169,1.88878219712945,1.43705510241876
170,1.58417937791934,1.11192428401245
171,1.32792624774758,0.843429785204012
172,1.11374491120649,0.629206444293822
173,0.936632031082897,0.471608986260454
174,0.792440197372838,0.376850837959663
175,0.677517640474367,0.345129590237272
176,0.588419360864331,0.35753554351731
177,0.521775490231206,0.386727129606633
178,0.474445967177658,0.413866324206139
179,0.444019847416684,0.429533848337768
180,0.429511401436148,0.429511401436158
